emp_id,first_name,last_name,email,hire_date,salary,dept_id,manager_id
1,John,Smith,john.smith@company.com,2020-04-12,87194,2,
2,Jane,Doe,jane.doe@company.com,2021-03-11,94131,2,1.0
3,Alice,Johnson,alice.johnson@company.com,2022-05-10,110263,2,1.0
4,Bob,Brown,bob.brown@company.com,2020-09-27,66023,4,2.0
5,Eve,Davis,eve.davis@company.com,2020-04-16,91090,4,2.0
6,Charlie,Miller,charlie.miller@company.com,2020-03-12,117221,1,3.0
7,Grace,Wilson,grace.wilson@company.com,2021-12-01,114820,1,3.0
8,David,Moore,david.moore@company.com,2020-01-21,50769,4,4.0
9,Helen,Taylor,helen.taylor@company.com,2021-09-06,109735,2,4.0
10,Mike,Anderson,mike.anderson@company.com,2020-05-01,112955,2,5.0
